route,sourceFile,currentArea,targetSuite,function,purpose,primaryUsers,permissions,scope,kind,apiDependencies,workflowDependencies,sharedComponents,loadingState,emptyState,errorState,forbiddenState,search,filtering,sorting,pagination,savedViews,responsive,accessibility,relatedRecords,record360,mobileRequirement,implementationState,verificationState,uxClass,decision,migrationWave,directSourceLines
"/admin/access","apps/web/app/admin/access/page.tsx","admin","Administration & Governance","Access","Access administration and governance","Administrators; security; auditors; platform owners","API guard-derived permissions; page-level visibility NOT VERIFIED","tenant + organization","configuration","/api/... | /api/admin/access | /api/admin/access/grants | /api/admin/access/grants?userId=${encodeURIComponent | /api/admin/access/roles | /api/admin/mfa?account=${encodeURIComponent | /api/v1/ | /api/v1/... | /api/workspace/users","Detected in UI source; verify against domain state machine","admin-chrome | roles-admin-client","apps/web/app/admin/loading.tsx","PRESENT_SIGNAL_NOT_VERIFIED","apps/web/app/admin/error.tsx","NOT_VERIFIED","MISSING_OR_NA","PRESENT_SIGNAL_NOT_VERIFIED","MISSING_OR_NA","MISSING_OR_NA","MISSING_OR_NA","FLUID_ONLY","SEMANTIC_SIGNAL_NOT_VERIFIED","LINK_SIGNAL_NOT_VERIFIED","N/A_OR_REVIEW","STANDARD","IMPLEMENTED_PAGE_SURFACE","NOT_VERIFIED_TO_PAGE_DOD","B_EXISTS_UX_WEAK","CONSOLIDATE_IN_ADMIN_SUITE","8_REMAINING_SUITES","57"
"/admin/ai","apps/web/app/admin/ai/page.tsx","admin","Administration & Governance","Ai","Ai administration and governance","Administrators; security; auditors; platform owners","API guard-derived permissions; page-level visibility NOT VERIFIED","tenant + organization","configuration","/api/... | /api/admin/platform/ai | /api/admin/platform/ai/agents/toggle | /api/admin/platform/ai/agents/update | /api/admin/platform/ai/autonomy/thresholds | /api/admin/platform/ai/guardrails | /api/admin/platform/ai/marketplace/install | /api/admin/platform/ai/workflow/approve-gate | /api/admin/platform/ai/workflow/start | /api/v1/ | /api/v1/...","Detected in UI source; verify against domain state machine","admin-chrome | ai-admin-client","apps/web/app/admin/loading.tsx","PRESENT_SIGNAL_NOT_VERIFIED","apps/web/app/admin/error.tsx","NOT_VERIFIED","MISSING_OR_NA","PRESENT_SIGNAL_NOT_VERIFIED","MISSING_OR_NA","MISSING_OR_NA","MISSING_OR_NA","FLUID_ONLY","SEMANTIC_SIGNAL_NOT_VERIFIED","LINK_SIGNAL_NOT_VERIFIED","N/A_OR_REVIEW","STANDARD","IMPLEMENTED_PAGE_SURFACE","NOT_VERIFIED_TO_PAGE_DOD","B_EXISTS_UX_WEAK","CONSOLIDATE_IN_ADMIN_SUITE","8_REMAINING_SUITES","136"
"/admin/approval-matrix","apps/web/app/admin/approval-matrix/page.tsx","admin","Administration & Governance","Approval Matrix","Approval Matrix administration and governance","Administrators; security; auditors; platform owners","API guard-derived permissions; page-level visibility NOT VERIFIED","tenant + organization","configuration","/api/... | /api/admin/access | /api/admin/approval-matrix | /api/admin/approval-matrix?entityType=${encodeURIComponent | /api/admin/approval-matrix?entityType=purchase-request | /api/v1/ | /api/v1/...","Detected in UI source; verify against domain state machine","admin-chrome | approval-matrix-client","apps/web/app/admin/loading.tsx","PRESENT_SIGNAL_NOT_VERIFIED","apps/web/app/admin/error.tsx","NOT_VERIFIED","MISSING_OR_NA","PRESENT_SIGNAL_NOT_VERIFIED","PRESENT_SIGNAL_NOT_VERIFIED","MISSING_OR_NA","MISSING_OR_NA","FLUID_ONLY","SEMANTIC_SIGNAL_NOT_VERIFIED","LINK_SIGNAL_NOT_VERIFIED","N/A_OR_REVIEW","STANDARD","IMPLEMENTED_PAGE_SURFACE","NOT_VERIFIED_TO_PAGE_DOD","B_EXISTS_UX_WEAK","CONSOLIDATE_IN_ADMIN_SUITE","8_REMAINING_SUITES","41"
"/admin/audit","apps/web/app/admin/audit/page.tsx","admin","Administration & Governance","Audit","Audit administration and governance","Administrators; security; auditors; platform owners","API guard-derived permissions; page-level visibility NOT VERIFIED","tenant + organization","configuration","/api/audit/csv?${new | /api/audit?${params.toString","Detected in UI source; verify against domain state machine","audit-browser-client","apps/web/app/admin/loading.tsx","PRESENT_SIGNAL_NOT_VERIFIED","apps/web/app/admin/error.tsx","NOT_VERIFIED","PRESENT_SIGNAL_NOT_VERIFIED","PRESENT_SIGNAL_NOT_VERIFIED","MISSING_OR_NA","PRESENT_SIGNAL_NOT_VERIFIED","MISSING_OR_NA","NONE","SEMANTIC_SIGNAL_NOT_VERIFIED","LINK_SIGNAL_NOT_VERIFIED","N/A_OR_REVIEW","STANDARD","IMPLEMENTED_PAGE_SURFACE","NOT_VERIFIED_TO_PAGE_DOD","B_EXISTS_UX_WEAK","CONSOLIDATE_IN_ADMIN_SUITE","8_REMAINING_SUITES","8"
"/admin/calendar","apps/web/app/admin/calendar/page.tsx","admin","Administration & Governance","Calendar","Calendar administration and governance","Administrators; security; auditors; platform owners","API guard-derived permissions; page-level visibility NOT VERIFIED","tenant + organization","configuration","/api/... | /api/admin/calendar | /api/admin/calendar/${encodeURIComponent | /api/v1/ | /api/v1/...","Detected in UI source; verify against domain state machine","admin-chrome | calendar-admin-client","apps/web/app/admin/loading.tsx","PRESENT_SIGNAL_NOT_VERIFIED","apps/web/app/admin/error.tsx","NOT_VERIFIED","MISSING_OR_NA","PRESENT_SIGNAL_NOT_VERIFIED","PRESENT_SIGNAL_NOT_VERIFIED","MISSING_OR_NA","MISSING_OR_NA","FLUID_ONLY","SEMANTIC_SIGNAL_NOT_VERIFIED","LINK_SIGNAL_NOT_VERIFIED","N/A_OR_REVIEW","STANDARD","IMPLEMENTED_PAGE_SURFACE","NOT_VERIFIED_TO_PAGE_DOD","B_EXISTS_UX_WEAK","CONSOLIDATE_IN_ADMIN_SUITE","8_REMAINING_SUITES","50"
"/admin/connectors","apps/web/app/admin/connectors/page.tsx","admin","Administration & Governance","Connectors","Connectors administration and governance","Administrators; security; auditors; platform owners","API guard-derived permissions; page-level visibility NOT VERIFIED","tenant + organization","configuration","/api/... | /api/admin/connectors | /api/admin/connectors/${encodeURIComponent | /api/v1/ | /api/v1/...","Detected in UI source; verify against domain state machine","admin-chrome | connectors-admin-client","apps/web/app/admin/loading.tsx","PRESENT_SIGNAL_NOT_VERIFIED","apps/web/app/admin/error.tsx","NOT_VERIFIED","MISSING_OR_NA","PRESENT_SIGNAL_NOT_VERIFIED","MISSING_OR_NA","MISSING_OR_NA","MISSING_OR_NA","FLUID_ONLY","SEMANTIC_SIGNAL_NOT_VERIFIED","LINK_SIGNAL_NOT_VERIFIED","N/A_OR_REVIEW","STANDARD","IMPLEMENTED_PAGE_SURFACE","NOT_VERIFIED_TO_PAGE_DOD","B_EXISTS_UX_WEAK","CONSOLIDATE_IN_ADMIN_SUITE","8_REMAINING_SUITES","39"
"/admin/data","apps/web/app/admin/data/page.tsx","admin","Administration & Governance","Data","Data administration and governance","Administrators; security; auditors; platform owners","API guard-derived permissions; page-level visibility NOT VERIFIED","tenant + organization","configuration","/api/admin/platform/archive-run | /api/admin/platform/data-lifecycle | /api/admin/platform/seed-demo | /api/admin/settings | /api/audit/csv | /api/finance/accounts/import | /api/finance/ap-aging/csv | /api/finance/ar-aging/csv | /api/finance/invoices/csv","Detected in UI source; verify against domain state machine","admin-chrome | data-admin-client","apps/web/app/admin/loading.tsx","PRESENT_SIGNAL_NOT_VERIFIED","apps/web/app/admin/error.tsx","NOT_VERIFIED","MISSING_OR_NA","PRESENT_SIGNAL_NOT_VERIFIED","MISSING_OR_NA","MISSING_OR_NA","MISSING_OR_NA","FLUID_ONLY","SEMANTIC_SIGNAL_NOT_VERIFIED","LINK_SIGNAL_NOT_VERIFIED","N/A_OR_REVIEW","STANDARD","IMPLEMENTED_PAGE_SURFACE","NOT_VERIFIED_TO_PAGE_DOD","B_EXISTS_UX_WEAK","CONSOLIDATE_IN_ADMIN_SUITE","8_REMAINING_SUITES","28"
"/admin/feature-flags","apps/web/app/admin/feature-flags/page.tsx","admin","Administration & Governance","Feature Flags","Feature Flags administration and governance","Administrators; security; auditors; platform owners","API guard-derived permissions; page-level visibility NOT VERIFIED","tenant + organization","configuration","/api/... | /api/admin/feature-flags | /api/v1/ | /api/v1/...","Detected in UI source; verify against domain state machine","admin-chrome | feature-flags-admin-client","apps/web/app/admin/loading.tsx","PRESENT_SIGNAL_NOT_VERIFIED","apps/web/app/admin/error.tsx","NOT_VERIFIED","MISSING_OR_NA","PRESENT_SIGNAL_NOT_VERIFIED","MISSING_OR_NA","MISSING_OR_NA","MISSING_OR_NA","FLUID_ONLY","SEMANTIC_SIGNAL_NOT_VERIFIED","LINK_SIGNAL_NOT_VERIFIED","N/A_OR_REVIEW","STANDARD","IMPLEMENTED_PAGE_SURFACE","NOT_VERIFIED_TO_PAGE_DOD","B_EXISTS_UX_WEAK","CONSOLIDATE_IN_ADMIN_SUITE","8_REMAINING_SUITES","41"
"/admin/forms","apps/web/app/admin/forms/page.tsx","admin","Administration & Governance","Forms","Forms administration and governance","Administrators; security; auditors; platform owners","API guard-derived permissions; page-level visibility NOT VERIFIED","tenant + organization","configuration","/api/... | /api/admin/forms | /api/admin/forms/${encodeURIComponent | /api/v1/ | /api/v1/...","Detected in UI source; verify against domain state machine","admin-chrome | forms-admin-client","apps/web/app/admin/loading.tsx","PRESENT_SIGNAL_NOT_VERIFIED","apps/web/app/admin/error.tsx","NOT_VERIFIED","MISSING_OR_NA","PRESENT_SIGNAL_NOT_VERIFIED","MISSING_OR_NA","MISSING_OR_NA","MISSING_OR_NA","FLUID_ONLY","SEMANTIC_SIGNAL_NOT_VERIFIED","LINK_SIGNAL_NOT_VERIFIED","N/A_OR_REVIEW","STANDARD","IMPLEMENTED_PAGE_SURFACE","NOT_VERIFIED_TO_PAGE_DOD","B_EXISTS_UX_WEAK","CONSOLIDATE_IN_ADMIN_SUITE","8_REMAINING_SUITES","50"
"/admin/health","apps/web/app/admin/health/page.tsx","admin","Administration & Governance","Health","Health administration and governance","Administrators; security; auditors; platform owners","API guard-derived permissions; page-level visibility NOT VERIFIED","tenant + organization","configuration","/api/... | /api/admin/webhooks | /api/admin/webhooks/deliveries | /api/events | /api/events/dead-letters | /api/v1/ | /api/v1/...","Detected in UI source; verify against domain state machine","admin-chrome","apps/web/app/admin/loading.tsx","PRESENT_SIGNAL_NOT_VERIFIED","apps/web/app/admin/error.tsx","NOT_VERIFIED","MISSING_OR_NA","PRESENT_SIGNAL_NOT_VERIFIED","MISSING_OR_NA","MISSING_OR_NA","MISSING_OR_NA","FLUID_ONLY","SEMANTIC_SIGNAL_NOT_VERIFIED","LINK_SIGNAL_NOT_VERIFIED","N/A_OR_REVIEW","STANDARD","IMPLEMENTED_PAGE_SURFACE","NOT_VERIFIED_TO_PAGE_DOD","B_EXISTS_UX_WEAK","CONSOLIDATE_IN_ADMIN_SUITE","8_REMAINING_SUITES","187"
